进了吗,选手,层数,时间,视频
1,天堂之王LPH,99,18:38,https://www.bilibili.com/video/BV1oy411i7Jj
1,路遇一只鲈鱼,99,18:28,https://www.bilibili.com/video/BV1RE421c7TL
1,noyllopA者使灾天,99,25:37,https://www.bilibili.com/video/BV1kZ421N7vQ
1,夜鷹之星-_-,99,18:01,
1,堕化以撒鸟,99,22:49,https://www.bilibili.com/video/BV18n4y1f7Lx
1,凉茶和凉皮的左半部分,99,20:01,
1,sdupid_man,99,19:03,https://www.bilibili.com/video/BV1cE4m1d7cA
1,MoVey1,99,19:27,
1,故障小蓝神,99,27:41,https://www.bilibili.com/video/BV1kZ421N7vQ
1,MSC、耗子,99,18:57,https://www.bilibili.com/video/BV1B38pefEEQ
1,小米壹陆零零,99,34:33,https://www.bilibili.com/video/BV1HW42197jh
1,嚣弄菌,99,22:19,https://www.bilibili.com/video/BV1YT42167fr
1,胖胖的古纳,99,21:41,
0,夏姬八趋,9,16:37,https://www.bilibili.com/video/BV1kZ421N7vQ
0,梨伞之落,99,34:20,
0,林煜梓-,9,27:21,https://www.bilibili.com/video/BV1YT42167fr
0,jk阳星,9,20:27,
0,Yoshimura-Eto,9,33:33,https://www.bilibili.com/video/BV1cE4m1d7cA
0,虚限、夜白,99,32:16,https://www.bilibili.com/video/BV1Vn8peXEuN
0,yuwedi,9,33:48,
0,我是魔法之龟821,99,26:58,https://www.bilibili.com/video/BV1cU8seGEUi
0,封不觉枉叹之,99,28:52,
0,灿烂蒸韭菜,99,31:05,https://www.bilibili.com/video/BV1KE421A7Y3
0,B-L-U-E-E,6,28:39,https://www.bilibili.com/video/BV1YT42167fr
0,lambda_ed1th,99,29:36,https://www.bilibili.com/video/BV1B38pefEEQ
0,食够一宿skullissue,99,20:54,
0,花间璃雨,99,28:53,
0,禹系孑,9,17:24,https://www.bilibili.com/video/BV1YT42167fr
0,锈玫残海,99,34:36,
0,绒螈骑士,7,18:06,
0,NLG永不言弃,99,32:52,https://www.bilibili.com/video/BV1vy411e7PB
0,安入山,6,11:50,https://www.bilibili.com/video/BV1Mb42177jw
0,汪derHow,7,26:31,https://www.bilibili.com/video/BV1kZ421N7vQ
0,upup升级哦,3,15:19,
0,杨桂芳他奶奶,7,19:25,
0,我和我的幻想,8,21:58,
0,小半个蜉蝣,9,31:41,
0,Manple青枫君,8,20:23,
0,ryn951,7,23:56,
0,灯泡中二事件簿,1,0:00,
0,某位小z,1,0:00,
0,柴柴柴柴柴老师,1,0:00,
0,须川绅士分士_,1,0:00,
0,Cigeo,1,0:00,
0,三条猹,1,0:00,
2,（自己复盘）,99,16:54,
