进了吗,选手,层数,时间,视频
1,天堂之王LPH,99,13:49,https://www.bilibili.com/video/BV1oy411i7Jj
1,路遇一只鲈鱼,99,16:46,https://www.bilibili.com/video/BV1RE421c7TL
1,noyllopA者使灾天,99,15:05,https://www.bilibili.com/video/BV1kZ421N7vQ
1,夜鷹之星-_-,99,16:06,
1,堕化以撒鸟,99,17:51,https://www.bilibili.com/video/BV18n4y1f7Lx
1,凉茶和凉皮的左半部分,99,14:43,
1,sdupid_man,99,17:53,https://www.bilibili.com/video/BV1cE4m1d7cA
1,MoVey1,9,14:30,
1,故障小蓝神,99,19:41,https://www.bilibili.com/video/BV1kZ421N7vQ
1,MSC、耗子,99,18:34,https://www.bilibili.com/video/BV1B38pefEEQ
1,小米壹陆零零,99,20:11,https://www.bilibili.com/video/BV1HW42197jh
1,嚣弄菌,99,20:29,https://www.bilibili.com/video/BV1YT42167fr
1,胖胖的古纳,9,16:24,
0,夏姬八趋,99,21:34,https://www.bilibili.com/video/BV1kZ421N7vQ
0,梨伞之落,99,17:08,
0,林煜梓-,99,26:00,https://www.bilibili.com/video/BV1YT42167fr
0,jk阳星,99,20:33,
0,Yoshimura-Eto,99,22:57,https://www.bilibili.com/video/BV1cE4m1d7cA
0,虚限、夜白,99,18:26,https://www.bilibili.com/video/BV1Vn8peXEuN
0,yuwedi,9,11:56,
0,我是魔法之龟821,6,9:56,https://www.bilibili.com/video/BV1cU8seGEUi
0,封不觉枉叹之,9,21:19,
0,灿烂蒸韭菜,9,21:24,https://www.bilibili.com/video/BV1KE421A7Y3
0,B-L-U-E-E,99,25:16,https://www.bilibili.com/video/BV1YT42167fr
0,lambda_ed1th,9,25:54,https://www.bilibili.com/video/BV1B38pefEEQ
0,食够一宿skullissue,8,16:21,
0,花间璃雨,9,22:00,
0,禹系孑,9,16:04,https://www.bilibili.com/video/BV1YT42167fr
0,锈玫残海,1,0:00,
0,绒螈骑士,9,22:41,
0,NLG永不言弃,9,27:10,https://www.bilibili.com/video/BV1vy411e7PB
0,安入山,9,22:19,https://www.bilibili.com/video/BV1Mb42177jw
0,汪derHow,9,15:48,https://www.bilibili.com/video/BV1kZ421N7vQ
0,upup升级哦,99,23:12,
0,杨桂芳他奶奶,99,34:25,
0,我和我的幻想,9,21:08,
0,小半个蜉蝣,5,14:57,
0,Manple青枫君,9,26:30,
0,ryn951,8,99:99,
0,灯泡中二事件簿,1,0:00,
0,某位小z,1,0:00,
0,柴柴柴柴柴老师,1,0:00,
0,须川绅士分士_,1,0:00,
0,Cigeo,1,0:00,
0,三条猹,1,0:00,
