进了吗,选手,层数,时间,视频
1,一块蓝冰,99,16:23,https://www.bilibili.com/video/BV1wU421f7YC
1,MSC、耗子,99,19:12,
1,为什么我不能叫欧豆豆,99,17:54,
1,一只麋鹿1,99,32:34,
1,小豪_LuckyHowe,11,18:54,https://www.bilibili.com/video/BV1qN4y1H7fF
1,塔壳take,99,26:44,https://www.bilibili.com/video/BV1KQ4y1c75s
1,天堂之王LPH,99,21:05,https://www.bilibili.com/video/BV1JV411Q7DS
1,heitai-桑,99,20:34,https://www.bilibili.com/video/BV1WV411Q73M
1,Uiyt乐园,99,17:58,
1,无头的蛮奇,99,33:42,
1,公孙镡,99,19:22,
1,大帅曾是个蒟蒻,99,18:18,https://www.bilibili.com/video/BV1qw411j7FC
1,bbluejj,10,22:16,
0,喵小day,99,18:59,
0,mirror、、、、、,99,21:41,
0,阿哲一起忏悔,99,18:59,
0,以撒-北小鸟,99,21:51,https://www.bilibili.com/video/BV1wC4y1k7v2
0,嚣弄菌,99,25:37,
0,是热水P,99,24:16,https://www.bilibili.com/video/BV1rg4y127KU
0,桂叶,99,32:57,https://www.bilibili.com/video/BV1rg4y127KU
0,胖胖的古纳,99,23:24,
0,提刀走脸,99,35:29,https://www.bilibili.com/video/BV1zb4y1N7bw
0,Sdupid_man,11,19:14,
0,是墨单啊,11,23:46,
0,月饼开始冲刺,11,16:01,https://www.bilibili.com/video/BV1wC4y1k7v2
0,椅子贰号机,11,21:38,
0,牛骨汤面,10,22:01,
0,AgXXX,1,0:00,
2,（自己复盘）,99,14:12,
