进了吗,选手,层数,时间,视频
1,这账号即将注销,99,15:17,https://www.bilibili.com/video/BV11Z4y1J7qu
1,美少女小雪糕,99,14:47,
1,晚好吖乘客,99,15:02,https://www.bilibili.com/video/BV1Sa4y1k72v
1,蓝花胶布,99,20:41,
1,noiby,99,15:13,https://www.bilibili.com/video/BV13K4y1i7N9
1,大份烤冷面I,99,18:28,
1,扑克脸老K,99,19:19,https://www.bilibili.com/video/BV1BN4y1H7eg
1,高等生物Au喵,99,17:24,https://www.bilibili.com/video/BV1yg4y127Yt
1,pye-dog03,99,16:46,https://www.bilibili.com/video/BV1WT4y1b71m
1,北铭H,99,18:30,
1,122里22,99,17:01,
1,进击的松鼠君,99,26:04,https://www.bilibili.com/video/BV1og4y127X3
1,短跑冠军抹小姐,99,20:00,https://www.bilibili.com/video/BV1tg4y127p1
0,三条猹,99,23:19,https://www.bilibili.com/video/BV1BN4y1H7eg
0,LeeleeN_3rD,99,17:35,https://www.bilibili.com/video/BV1ka4y1k7Nt
0,E-dgar,8,10:50,
0,数知智,99,17:31,https://www.bilibili.com/video/BV1vC4y1r7QC
0,青柠布丁茶,99,21:31,
0,霍柴-玉铉,9,17:01,https://www.bilibili.com/video/BV1RK411a759
0,我有哇哈哈啊,9,25:08,https://www.bilibili.com/video/BV1BN4y1H7eg
0,彡丿、司徒小莫,99,29:17,
0,改名别和我重名,99,22:51,
0,饿啊又寄了,8,12:39,https://www.bilibili.com/video/BV1RK411a759
0,MoVey1,9,13:24,
0,八分先生eqm,9,19:53,
0,☆斩空の千翼一,8,12:19,https://www.bilibili.com/video/BV1BN4y1H7eg
0,--ima--,1,0:00,
0,sao话王1,1,0:00,
2,（自己复盘）,99,15:08,
