进了吗,选手,层数,时间,视频
1,一块蓝冰,99,18:33,https://www.bilibili.com/video/BV1Tx4y1s75T
1,桃泽、,99,21:15,https://www.bilibili.com/video/BV1Zy411e7TW
1,饿啊又寄了,99,29:12,
1,晚好吖乘客,99,20:35,
1,涅槃的其卡斯,99,21:24,
1,-生命的气息-,99,29:02,
1,122里22,99,20:34,https://www.bilibili.com/video/BV1Q142147Ad
1,11_23Q,99,25:43,
1,唐天_,11,22:32,
1,一二三四五棵树,11,21:18,
1,暴雪家族-小朋,99,28:21,https://www.bilibili.com/video/BV1Lz421i7Xy
1,_风雅颂_,11,28:53,https://www.bilibili.com/video/BV1Lz421i7Xy
0,毛玉小虎,99,32:56,
1,喵小day,99,19:57,https://www.bilibili.com/video/BV1ax4y1s7N1
0,焰心心心,11,34:40,https://www.bilibili.com/video/BV1ax4y1s7N1
0,sbzmynot,99,28:19,
0,无忧,99,34:38,
0,LemonGame73132,99,24:26,https://www.bilibili.com/video/BV1ax4y1s7N1
0,创世者七号,99,22:50,
0,刘十二饿昏头,11,22:53,
0,章鱼部长,11,18:32,
0,井盖井盖子,10,34:51,
0,raindrops雨露,11,23:29,https://www.bilibili.com/video/BV1Q142147Ad
0,音量抑制器,11,16:08,https://www.bilibili.com/video/BV1yM4m1y75J
0,leDoctor,7,15:39,
0,ForeverHeart_,11,16:33,
0,界作业星辰,10,16:52,
0,Parker-无痕,11,32:41,
0,天火_先生,5,8:33,https://www.bilibili.com/video/BV13H4y1c7gM
0,堕化以撒,11,23:43,
0,林桅masuto,8,24:11,https://www.bilibili.com/video/BV1Q142147Ad
0,小白酱也,10,18:39,
0,睡觉真好zzZ,11,27:07,
0,GRiM-P,11,33:31,https://www.bilibili.com/video/BV13H4y1c7gM
0,拔丝直播小号,10,22:45,
0,重水之精灵,10,12:15,
0,ChylithAstaroth,8,34:14,
0,伊未宫寒害我着凉,8,32:23,https://www.bilibili.com/video/BV1Q142147Ad
0,奈茶的梦,1,0:00,
0,nimi-_sora,1,0:00,
0,尤贝尔丨,1,0:00,
0,思安-君,1,0:00,
0,橘在一方,1,0:00,
0,21319-,1,0:00,
0,20785215402_bili,1,0:00,
2,（自己复盘）,99,20:36,
