进了吗,选手,层数,时间,视频
1,一块蓝冰,99,17:20,https://www.bilibili.com/video/BV1wU421f7YC
1,MSC、耗子,99,18:41,
1,为什么我不能叫欧豆豆,99,25:52,
1,一只麋鹿1,99,14:57,
1,小豪_LuckyHowe,99,17:24,https://www.bilibili.com/video/BV1qN4y1H7fF
1,塔壳take,99,20:46,https://www.bilibili.com/video/BV1KQ4y1c75s
1,天堂之王LPH,99,18:24,https://www.bilibili.com/video/BV1JV411Q7DS
1,heitai-桑,99,18:47,https://www.bilibili.com/video/BV1WV411Q73M
1,Uiyt乐园,13,14:24,
1,无头的蛮奇,99,23:48,
1,公孙镡,99,22:04,
1,大帅曾是个蒟蒻,13,15:34,https://www.bilibili.com/video/BV1qw411j7FC
1,bbluejj,99,19:59,
0,喵小day,99,23:29,
0,mirror、、、、、,99,23:25,
0,阿哲一起忏悔,99,24:55,
0,以撒-北小鸟,99,21:39,https://www.bilibili.com/video/BV1wC4y1k7v2
0,嚣弄菌,99,25:37,
0,是热水P,13,12:02,https://www.bilibili.com/video/BV1rg4y127KU
0,桂叶,99,23:45,https://www.bilibili.com/video/BV1rg4y127KU
0,胖胖的古纳,99,32:11,
0,提刀走脸,99,33:08,https://www.bilibili.com/video/BV1zb4y1N7bw
0,Sdupid_man,13,17:24,
0,是墨单啊,99,20:46,
0,月饼开始冲刺,4,3:20,https://www.bilibili.com/video/BV1wC4y1k7v2
0,椅子贰号机,13,14:06,
0,牛骨汤面,6,29:47,
0,AgXXX,1,0:00,
