进了吗,选手,层数,时间,视频
1,一块蓝冰,99,14:45,https://www.bilibili.com/video/BV1wU421f7YC
1,MSC、耗子,99,18:26,
1,为什么我不能叫欧豆豆,99,15:09,
1,一只麋鹿1,99,16:56,
1,小豪_LuckyHowe,99,16:54,https://www.bilibili.com/video/BV1qN4y1H7fF
1,塔壳take,99,17:01,https://www.bilibili.com/video/BV1KQ4y1c75s
1,天堂之王LPH,99,28:17,https://www.bilibili.com/video/BV1JV411Q7DS
1,heitai-桑,8,16:45,https://www.bilibili.com/video/BV1WV411Q73M
1,Uiyt乐园,99,19:23,
1,无头的蛮奇,99,16:19,
1,公孙镡,10,27:18,
1,大帅曾是个蒟蒻,99,20:51,https://www.bilibili.com/video/BV1qw411j7FC
1,bbluejj,99,17:44,
0,喵小day,6,9:01,
0,mirror、、、、、,8,18:54,
0,阿哲一起忏悔,8,18:59,
0,以撒-北小鸟,7,30:30,https://www.bilibili.com/video/BV1wC4y1k7v2
0,嚣弄菌,99,26:06,
0,是热水P,99,19:25,https://www.bilibili.com/video/BV1rg4y127KU
0,桂叶,99,26:37,https://www.bilibili.com/video/BV1rg4y127KU
0,胖胖的古纳,99,27:35,
0,提刀走脸,99,19:44,https://www.bilibili.com/video/BV1zb4y1N7bw
0,Sdupid_man,99,17:18,
0,是墨单啊,6,10:48,
0,月饼开始冲刺,10,29:22,https://www.bilibili.com/video/BV1wC4y1k7v2
0,椅子贰号机,4,5:57,
0,牛骨汤面,4,7:31,
0,AgXXX,1,0:00,
