进了吗,选手,层数,时间,视频
1,公孙镡,99,15:14,https://www.bilibili.com/video/BV13YGtzmEXN
1,Chiiqiawa,99,17:37,https://www.bilibili.com/video/BV1e8GtzSEna
1,青草包饭,99,19:09,
1,路遇一只鲈鱼,99,13:34,
0,五棵松,99,21:00,
1,少晚艾晴,99,23:40,
1,扑克脸老k,99,16:20,https://www.bilibili.com/video/BV1TyGtzgEXr
1,无头的蛮奇,99,16:42,
1,进击的松鼠君-,99,22:27,https://www.bilibili.com/video/BV1YaGtzEEqS
1,fffffffrans,99,18:38,
1,呵呵呵斥225,99,26:27,
0,虚限、夜白,99,23:02,
0,Light后面一个点,99,34:31,
0,哈基人,99,21:22,
0,五更琉璃゙,99,18:16,
0,-DeEMO--,99,24:20,
0,炎炎夏日Quincy,11,37:07,https://www.bilibili.com/video/BV1uWGhzHEqm
0,在下控萝莉,8,18:53,https://www.bilibili.com/video/BV1uWGhzHEqm
0,MoVey1,11,19:28,
2,（自己复盘）,99,18:13,
