进了吗,选手,层数,时间,视频
1,一块蓝冰,99,19:56,https://www.bilibili.com/video/BV1Tx4y1s75T
1,桃泽、,99,29:14,https://www.bilibili.com/video/BV1Zy411e7TW
1,饿啊又寄了,99,16:01,
1,晚好吖乘客,99,33:52,
1,涅槃的其卡斯,99,27:37,
1,-生命的气息-,99,23:26,
1,122里22,99,19:15,https://www.bilibili.com/video/BV1Q142147Ad
1,11_23Q,99,21:16,
1,唐天_,99,20:47,
1,一二三四五棵树,99,27:36,
1,暴雪家族-小朋,99,24:48,https://www.bilibili.com/video/BV1Lz421i7Xy
1,_风雅颂_,99,25:53,https://www.bilibili.com/video/BV1Lz421i7Xy
0,毛玉小虎,99,19:54,
1,喵小day,99,33:59,https://www.bilibili.com/video/BV1ax4y1s7N1
0,焰心心心,99,22:10,https://www.bilibili.com/video/BV1ax4y1s7N1
0,sbzmynot,7,31:53,
0,无忧,11,14:29,
0,LemonGame73132,10,16:15,https://www.bilibili.com/video/BV1ax4y1s7N1
0,创世者七号,8,16:48,
0,刘十二饿昏头,8,28:46,
0,章鱼部长,6,12:00,
0,井盖井盖子,99,28:19,
0,raindrops雨露,7,20:37,https://www.bilibili.com/video/BV1Q142147Ad
0,音量抑制器,7,11:27,https://www.bilibili.com/video/BV1yM4m1y75J
0,leDoctor,99,26:10,
0,ForeverHeart_,3,3:49,
0,界作业星辰,10,28:02,
0,Parker-无痕,10,29:33,
0,天火_先生,8,16:14,https://www.bilibili.com/video/BV13H4y1c7gM
0,堕化以撒,7,16:40,
0,林桅masuto,99,34:36,https://www.bilibili.com/video/BV1Q142147Ad
0,小白酱也,11,34:08,
0,睡觉真好zzZ,10,17:01,
0,GRiM-P,4,4:31,https://www.bilibili.com/video/BV13H4y1c7gM
0,拔丝直播小号,7,15:16,
0,重水之精灵,4,4:41,
0,ChylithAstaroth,7,19:38,
0,伊未宫寒害我着凉,4,7:44,https://www.bilibili.com/video/BV1Q142147Ad
0,奈茶的梦,4,12:02,
0,nimi-_sora,1,0:00,
0,尤贝尔丨,1,0:00,
0,思安-君,1,0:00,
0,橘在一方,1,0:00,
0,21319-,1,0:00,
0,20785215402_bili,1,0:00,
2,（自己复盘）,99,17:47,
