进了吗,选手,层数,时间,视频
1,浩渝i,99,14:16,
1,神游的旅人,99,12:17,https://www.bilibili.com/video/BV1eE421w7r6
1,美少女小雪糕,99,16:26,
1,海浪不会PVZ,99,13:49,
1,腾讯电脑管家,99,19:12,https://www.bilibili.com/video/BV1kZ421T7C9
1,苳夏,99,18:21,
1,短跑冠军抹小姐,99,16:33,https://www.bilibili.com/video/BV1Cb421J7EY
1,fffffffrans,99,17:52,https://www.bilibili.com/video/BV1ax4y1s7N1
1,撕裂的末日Cory,99,16:10,https://www.bilibili.com/video/BV1Zb8geZE4D
1,雪碧tj,99,18:37,
1,扑克脸老K,99,16:39,https://www.bilibili.com/video/BV1uS42197vC
1,ix35_,99,19:56,
0,黑白黑芝麻,99,17:24,https://www.bilibili.com/video/BV1Mb421J7Fq
0,进击的松鼠君,99,17:44,https://www.bilibili.com/video/BV1W1421t7N4
1,oneday-dawn,99,16:39,
0,塔壳take,99,21:04,https://www.bilibili.com/video/BV17B8AezE5M
0,公孙镡,99,15:41,
0,227663,99,17:20,
0,紫巅、、,11,21:33,
0,FBFK,99,21:52,https://www.bilibili.com/video/BV1Q142147Ad
0,如果当时,99,32:53,
0,枫糖之秋,99,34:42,https://www.bilibili.com/video/BV1Kd8ceJEDj
0,氪氪Hydroxide,11,17:11,https://www.bilibili.com/video/BV1T1421t7V1
0,晓雪森,99,18:18,https://www.bilibili.com/video/BV1Cn8ceVEXb
0,方糖13a,99,34:04,
0,超级大狐,99,17:16,
0,LeeleeN_3rD,99,24:37,https://www.bilibili.com/video/BV13H4y1c7gM
0,我有哇哈哈啊,10,13:17,https://www.bilibili.com/video/BV1Q142147Ad
0,Hel逗比,10,15:30,https://www.bilibili.com/video/BV1ax4y1s7N1
0,卡琪咪桑,99,25:02,
0,迷路黄白,99,23:47,
0,Creepy_bloom,99,23:50,
0,RicKE柯柯,10,24:09,https://www.bilibili.com/video/BV1qr421M7Ha
0,An尼猫,11,19:37,
0,井上川雄,99,36:07,https://www.bilibili.com/video/BV1oZ421T76B
0,伟大先知777,10,17:06,https://www.bilibili.com/video/BV1Lz421i7Xy
0,Herb_Plant,10,14:31,
0,K神爱萝莉,10,14:13,
0,EoD酱,10,17:47,https://www.bilibili.com/video/BV13H4y1c7gM
0,Jeff-MoLe,5,5:39,
0,凉菜菜的烃,99,33:16,https://www.bilibili.com/video/BV1Lz421i7Xy
0,NankoNikko,7,10:58,
0,鱼漩yx,1,0:00,https://www.bilibili.com/video/BV1Q142147Ad
0,大盐杆嘴里塞,1,0:00,
0,一只麋鹿1,1,0:00,
