进了吗,选手,层数,时间,视频
1,浩渝i,99,14:47,
1,神游的旅人,99,15:38,https://www.bilibili.com/video/BV1eE421w7r6
1,美少女小雪糕,99,17:10,
1,海浪不会PVZ,99,16:31,
1,腾讯电脑管家,99,14:24,https://www.bilibili.com/video/BV1kZ421T7C9
1,苳夏,99,15:01,
1,短跑冠军抹小姐,99,16:31,https://www.bilibili.com/video/BV1Cb421J7EY
1,fffffffrans,99,16:04,https://www.bilibili.com/video/BV1ax4y1s7N1
1,撕裂的末日Cory,99,17:36,https://www.bilibili.com/video/BV1Zb8geZE4D
1,雪碧tj,99,17:31,
1,扑克脸老K,99,21:46,https://www.bilibili.com/video/BV1uS42197vC
1,ix35_,99,19:34,
0,黑白黑芝麻,99,21:52,https://www.bilibili.com/video/BV1Mb421J7Fq
0,进击的松鼠君,99,17:10,https://www.bilibili.com/video/BV1W1421t7N4
1,oneday-dawn,99,19:06,
0,塔壳take,99,15:02,https://www.bilibili.com/video/BV17B8AezE5M
0,公孙镡,99,25:21,
0,227663,99,23:10,
0,紫巅、、,99,18:06,
0,FBFK,99,21:56,https://www.bilibili.com/video/BV1Q142147Ad
0,如果当时,99,19:33,
0,枫糖之秋,99,21:36,https://www.bilibili.com/video/BV1Kd8ceJEDj
0,氪氪Hydroxide,99,19:45,https://www.bilibili.com/video/BV1T1421t7V1
0,晓雪森,99,20:18,https://www.bilibili.com/video/BV1Cn8ceVEXb
0,方糖13a,99,20:05,
0,超级大狐,99,23:31,
0,LeeleeN_3rD,99,23:36,https://www.bilibili.com/video/BV13H4y1c7gM
0,我有哇哈哈啊,99,17:27,https://www.bilibili.com/video/BV1Q142147Ad
0,Hel逗比,99,23:10,https://www.bilibili.com/video/BV1ax4y1s7N1
0,卡琪咪桑,99,22:49,
0,迷路黄白,99,22:21,
0,Creepy_bloom,99,24:01,
0,RicKE柯柯,99,18:55,https://www.bilibili.com/video/BV1qr421M7Ha
0,An尼猫,99,23:37,
0,井上川雄,99,22:12,https://www.bilibili.com/video/BV1oZ421T76B
0,伟大先知777,99,21:50,https://www.bilibili.com/video/BV1Lz421i7Xy
0,Herb_Plant,99,23:28,
0,K神爱萝莉,10,18:08,
0,EoD酱,99,24:34,https://www.bilibili.com/video/BV13H4y1c7gM
0,Jeff-MoLe,11,20:23,
0,凉菜菜的烃,99,25:43,https://www.bilibili.com/video/BV1Lz421i7Xy
0,NankoNikko,11,17:37,
0,鱼漩yx,5,8:25,https://www.bilibili.com/video/BV1Q142147Ad
0,大盐杆嘴里塞,1,0:00,
0,一只麋鹿1,1,0:00,
