进了吗,选手,层数,时间,视频
1,浩渝i,99,12:30,
1,神游的旅人,99,12:40,https://www.bilibili.com/video/BV1eE421w7r6
1,美少女小雪糕,99,12:08,
1,海浪不会PVZ,99,14:31,
1,腾讯电脑管家,99,11:32,https://www.bilibili.com/video/BV1kZ421T7C9
1,苳夏,99,14:30,
1,短跑冠军抹小姐,99,14:54,https://www.bilibili.com/video/BV1Cb421J7EY
1,fffffffrans,99,15:30,https://www.bilibili.com/video/BV1ax4y1s7N1
1,撕裂的末日Cory,99,16:32,https://www.bilibili.com/video/BV1Zb8geZE4D
1,雪碧tj,99,14:48,
1,扑克脸老K,99,14:35,https://www.bilibili.com/video/BV1uS42197vC
1,ix35_,99,12:51,
0,黑白黑芝麻,99,13:55,https://www.bilibili.com/video/BV1Mb421J7Fq
0,进击的松鼠君,99,16:17,https://www.bilibili.com/video/BV1W1421t7N4
1,oneday-dawn,99,15:59,
0,塔壳take,99,18:48,https://www.bilibili.com/video/BV17B8AezE5M
0,公孙镡,99,14:48,
0,227663,99,15:09,
0,紫巅、、,99,14:44,
0,FBFK,99,15:59,https://www.bilibili.com/video/BV1Q142147Ad
0,如果当时,99,18:35,
0,枫糖之秋,99,16:15,https://www.bilibili.com/video/BV1Kd8ceJEDj
0,氪氪Hydroxide,99,18:55,https://www.bilibili.com/video/BV1T1421t7V1
0,晓雪森,9,18:58,https://www.bilibili.com/video/BV1Cn8ceVEXb
0,方糖13a,99,21:07,
0,超级大狐,99,34:20,
0,LeeleeN_3rD,99,18:09,https://www.bilibili.com/video/BV13H4y1c7gM
0,我有哇哈哈啊,99,33:11,https://www.bilibili.com/video/BV1Q142147Ad
0,Hel逗比,99,15:16,https://www.bilibili.com/video/BV1ax4y1s7N1
0,卡琪咪桑,99,32:21,
0,迷路黄白,9,13:55,
0,Creepy_bloom,99,20:10,
0,RicKE柯柯,99,23:20,https://www.bilibili.com/video/BV1qr421M7Ha
0,An尼猫,99,18:12,
0,井上川雄,7,35:17,https://www.bilibili.com/video/BV1oZ421T76B
0,伟大先知777,9,15:08,https://www.bilibili.com/video/BV1Lz421i7Xy
0,Herb_Plant,99,23:20,
0,K神爱萝莉,99,19:15,
0,EoD酱,99,23:02,https://www.bilibili.com/video/BV13H4y1c7gM
0,Jeff-MoLe,99,18:23,
0,凉菜菜的烃,9,19:30,https://www.bilibili.com/video/BV1Lz421i7Xy
0,NankoNikko,9,18:53,
0,鱼漩yx,9,12:13,https://www.bilibili.com/video/BV1Q142147Ad
0,大盐杆嘴里塞,1,0:00,
0,一只麋鹿1,1,0:00,
2,（自己复盘）,99,13:57,
