进了吗,选手,层数,时间,视频
1,公孙镡,99,9:52,https://www.bilibili.com/video/BV13YGtzmEXN
1,Chiiqiawa,99,10:03,https://www.bilibili.com/video/BV1e8GtzSEna
1,青草包饭,99,10:11,
1,路遇一只鲈鱼,99,12:02,
0,五棵松,99,11:18,
1,少晚艾晴,99,11:27,
1,扑克脸老k,99,14:35,https://www.bilibili.com/video/BV1TyGtzgEXr
1,无头的蛮奇,99,14:01,
1,进击的松鼠君-,99,9:54,https://www.bilibili.com/video/BV1YaGtzEEqS
1,fffffffrans,99,13:03,
1,呵呵呵斥225,99,11:33,
0,虚限、夜白,99,12:38,
0,Light后面一个点,99,11:36,
0,哈基人,99,12:14,
0,゙五更琉璃゙,99,13:38,
0,-DeEMO--,99,14:18,
0,炎炎夏日Quincy,99,16:57,https://www.bilibili.com/video/BV1uWGhzHEqm
0,在下控萝莉,99,14:47,https://www.bilibili.com/video/BV1uWGhzHEqm
0,MoVey1,99,21:42,
2,（自己复盘）,99,11:01,
